customer_id,customer_name,segment,region,total_orders,total_revenue,total_profit,avg_discount,avg_margin,first_order,last_order,num_categories,num_channels,churn_prob
AA-10315,Alex Avila,Consumer,Central,5,5563.56,-362.8825,0.09090909090909091,0.265,2014-03-31,2017-06-29,3,3,
AA-10375,Allen Armold,Consumer,West,9,1056.39,277.3824,0.08000000000000002,0.319,2014-04-21,2017-12-11,3,3,
AA-10480,Andrew Allen,Consumer,South,4,1790.5120000000002,435.8274,0.016666666666666666,0.33083333333333326,2014-05-04,2017-04-15,3,3,
AA-10645,Anna Andreadi,Consumer,East,6,5086.9349999999995,857.8033,0.06388888888888888,0.2441425459072518,2014-06-22,2017-11-05,3,3,0.003360278
AB-10015,Aaron Bergman,Consumer,West,3,886.156,129.3465,0.06666666666666667,0.10541666666666666,2014-02-18,2016-11-10,3,2,
AB-10060,Adam Bellavance,Home Office,East,8,7706.5,2031.5021,0.047058823529411764,0.3372058823529412,2015-09-18,2017-11-06,3,3,
AB-10105,Adrian Barton,Consumer,West,10,14473.570999999998,5444.8055,0.24,-0.08312500000000003,2014-12-20,2017-11-19,3,3,
AB-10150,Aimee Bixby,Consumer,East,5,966.71,313.6597,0.13333333333333333,0.21479166666666663,2014-03-05,2017-11-19,3,3,
AB-10165,Alan Barnes,Consumer,West,8,1113.838,220.813,0.13571428571428573,0.24206632653061225,2014-11-16,2017-12-05,3,3,
AB-10255,Alejandro Ballentine,Home Office,East,9,914.5319999999999,264.5675,0.1,0.3068452380952381,2014-07-22,2017-07-17,3,3,
AB-10600,Ann Blume,Corporate,West,4,1515.862,-274.9604,0.375,-0.33479166666666665,2014-11-18,2017-11-10,3,3,
AC-10420,Alyssa Crouse,Corporate,West,3,925.8,-62.1342,0.32,-0.19250000000000003,2014-07-12,2017-05-12,2,2,
AC-10450,Amy Cox,Consumer,Central,7,5527.846,1366.0098,0.18888888888888888,0.1322222222222222,2014-10-31,2017-12-19,2,3,
AC-10615,Ann Chong,Corporate,East,5,2537.6859999999997,298.8273,0.1111111111111111,0.15125,2015-09-15,2017-12-24,3,3,
AC-10660,Anna Chung,Consumer,Central,5,657.316,-28.700399999999995,0.18333333333333335,0.061607142857142895,2014-10-15,2017-03-23,3,3,0.9975152
AD-10180,Alan Dominguez,Home Office,Central,8,6106.88,1869.9294,0.05833333333333333,0.3019345238095238,2014-11-19,2017-12-01,3,2,
